vgs,id,gm,gds,cgg,vth,gm_id,id_w,gain,ft
1.33,0.000614911407,0.00137734101,4.29690496e-05,5.97269589e-14,0.576624566,2.2399015440609644,6.14911407e-05,32.054258188666104,3670212481.9665585
1.34,0.00062873055,0.00138644999,4.45816612e-05,5.97650276e-14,0.576624566,2.2051576625312705,6.287305499999999e-05,31.0991100977637,3692131972.8163037
1.35,0.000642639656,0.00139533364,4.62514632e-05,5.98030793e-14,0.576624566,2.1712535586194823,6.42639656e-05,30.16842156898509,3713424938.4447193
1.36,0.000656636471,0.00140399181,4.79807652e-05,5.98411644e-14,0.576624566,2.1381569133098,6.56636471e-05,29.261555211712214,3734089048.274554
1.37,0.00067071874,0.0014124243,4.97719896e-05,5.98793338e-14,0.576624566,2.1058369414279374,6.7071874e-05,28.377895104277687,3754121744.890055
1.38,0.000684884204,0.00142063094,5.16276777e-05,5.9917639e-14,0.576624566,2.074264425581642,6.848842040000001e-05,27.516847615247276,3773520455.4753194
1.39,0.000699130605,0.00142861153,5.35504956e-05,5.99561321e-14,0.576624566,2.0434115167937756,6.991306050000001e-05,26.67783956046151,3792282437.0716124
1.4,0.000713455681,0.00143636584,5.55432414e-05,5.99948666e-14,0.576624566,2.0132516682560415,7.13455681e-05,25.86031718343323,3810404730.9331374
1.41,0.000727857167,0.00144389361,5.7608852e-05,6.00338968e-14,0.576624566,1.9837595553963956,7.278571670000001e-05,25.063745585487453,3827884205.0829744
1.42,0.000742332797,0.00145119455,5.97504108e-05,6.00732785e-14,0.576624566,1.9549109993048037,7.42332797e-05,24.28760791047147,3844717514.8018374
1.43,0.000756880301,0.00145826832,6.19711552e-05,6.01130688e-14,0.576624566,1.9266828824495987,7.56880301e-05,23.53140449445745,3860901067.1954556
1.44,0.000771497405,0.00146511451,6.42744851e-05,6.01533266e-14,0.576624566,1.8990530629198938,7.71497405e-05,22.794651839225697,3876430941.4295983
1.45,0.000786181831,0.00147173265,6.66639711e-05,6.01941125e-14,0.576624566,1.8720003337243238,7.86181831e-05,22.07688239562434,3891302926.9637346
1.46,0.000800931296,0.00147812223,6.91433632e-05,6.02354888e-14,0.576624566,1.8455043989191304,8.00931296e-05,21.37764438395152,3905512582.1194544
1.47,0.000815743511,0.00148428261,7.17166007e-05,6.02775202e-14,0.576624566,1.8195457150256142,8.15743511e-05,20.696499771495724,3919054956.8567004
1.48,0.000830616182,0.00149021311,7.43878211e-05,6.03202734e-14,0.576624566,1.7941055595760114,8.30616182e-05,20.0330254060903,3931924862.8744836
1.49,0.000845547004,0.00149591291,7.71613701e-05,6.03638174e-14,0.576624566,1.7691658806941972,8.455470039999999e-05,19.38681114735675,3944116596.931485
1.5,0.000860533668,0.00150138113,8.00418122e-05,6.04082235e-14,0.576624566,1.7447093423891464,8.60533668e-05,18.757460491380527,3955624159.422525
1.51,0.000875573852,0.00150661676,8.3033941e-05,6.04535656e-14,0.576624566,1.7207192249500844,8.75573852e-05,18.144589331247087,3966441058.0125604
1.52,0.000890665224,0.00151161866,8.61427898e-05,6.04999204e-14,0.576624566,1.6971793882456558,8.90665224e-05,17.547825691616968,3976560303.192516
1.53,0.000905805442,0.00151638557,8.93736428e-05,6.05473669e-14,0.576624566,1.6740742544578353,9.05805442e-05,16.966809480881984,3985974476.7649226
1.54,0.000920992148,0.00152091612,9.27320462e-05,6.0595987e-14,0.576624566,1.6513888020682668,9.20992148e-05,16.401192277368295,3994675728.7103233
1.55,0.000936222971,0.00152520876,9.62238194e-05,6.06458651e-14,0.576624566,1.6291084573270953,9.36222971e-05,15.850636251090235,4002655630.3681164
1.56,0.000951495524,0.0015292618,9.98550662e-05,6.06970886e-14,0.576624566,1.6072191212956246,9.51495524e-05,15.314814342389369,4009905258.480708
1.57,0.000966807402,0.00153307342,0.000103632186,6.07497473e-14,0.576624566,1.5857071603181625,9.66807402e-05,14.793410031898778,4016415273.4804444
1.58,0.000982156181,0.0015366416,0.000107561884,6.08039338e-14,0.576624566,1.5645593131994961,9.82156181e-05,14.286116446231084,4022175723.1213717
1.59,0.000997539416,0.00153996417,0.000111651184,6.08597429e-14,0.576624566,1.5437627278679882,9.97539416e-05,13.792636269759575,4027176227.8494253
1.6,0.00101295464,0.00154303876,0.000115907435,6.09172719e-14,0.576624566,1.52330489349454,0.000101295464,13.312681451366775,4031405845.6118875
1.61,0.00102839936,0.00154586285,0.000120338322,6.09766201e-14,0.576624566,1.5031736795324337,0.000102839936,12.845973122344185,4034853252.2160106
1.62,0.00104387105,0.00154843371,0.000124951876,6.10378888e-14,0.576624566,1.483357269080314,0.000104387105,12.392240593490568,4037506601.909573
1.63,0.00105936718,0.00155074841,0.000129756477,6.11011805e-14,0.576624566,1.4638441130486974,0.000105936718,11.951221594895799,4039353624.9826984
1.64,0.00107488515,0.00155280383,0.000134760862,6.11665991e-14,0.576624566,1.4446230185615645,0.00010748851500000001,11.522661750263962,4040381659.8089585
1.65,0.00109042238,0.00155459667,0.000139974129,6.1234249e-14,0.576624566,1.4256830183547775,0.000109042238,11.106314296122536,4040577758.121929
1.66,0.0011059762,0.00155612341,0.000145405736,6.13042349e-14,0.576624566,1.4070134691867693,0.00011059761999999999,10.701939640125339,4039928614.4996176
1.67,0.00112154395,0.00155738034,0.0001510655,6.13766609e-14,0.576624566,1.3886039329979,0.00011215439499999999,10.309305168949892,4038420724.5972323
1.68,0.0011371229,0.00155836354,0.000156963592,6.14516301e-14,0.576624566,1.3704442501333847,0.00011371229,9.928184747454045,4036040380.4029365
1.69,0.00115271029,0.00155906892,0.000163110527,6.15292438e-14,0.576624566,1.3525245098662215,0.00011527102900000001,9.558358670498318,4032773847.270048
1.7,0.00116830333,0.00155949221,0.000169517153,6.16096007e-14,0.576624566,1.3348350295295315,0.000116830333,9.199613032670504,4028607410.4486785
1.71,0.00118389918,0.00155962894,0.000176194631,6.16927959e-14,0.576624566,1.3173663487122274,0.00011838991799999999,8.85173930186329,4023527408.1681395
1.72,0.00119949494,0.0015594745,0.000183154408,6.17789202e-14,0.576624566,1.3001092776598124,0.000119949494,8.514534359446047,4017520450.2969275
1.73,0.00121508768,0.00155902415,0.000190408192,6.18680589e-14,0.576624566,1.2830548574074918,0.000121508768,8.187799766514248,4010573538.0060635
1.74,0.00123067442,0.00155827302,0.000197967907,6.19602911e-14,0.576624566,1.2661943684504304,0.000123067442,7.871341590735715,4002674122.6807423
